review,label
"Great quality router, would definitely buy again.",1
The headphones is poorly made and feels cheap.,0
I am impressed with how well this watch performs.,1
"Terrible phone, complete waste of money.",0
"The phone is okay, does the job most of the time.",1
"The laptop broke within a week, totally unreliable.",0
"Best blender I have ever purchased, super happy.",1
The blender is okay but stopped impressing me after a while.,0
"The phone is okay, does the job most of the time.",1
The keyboard arrived quickly and works like a charm.,1
"Bad quality headphones, would not recommend to anyone.",1
The watch looks nice but took a while to get used to.,1
The router looks nice but took a while to get used to.,1
"I am frustrated with this backpack, it constantly malfunctions.",0
This router is fantastic and worth every penny.,1
"Excellent headphones, highly recommend it to everyone.",1
"The watch is okay, does the job most of the time.",1
"Absolutely love my new backpack, it exceeded my expectations.",1
"I regret buying this router, it broke immediately.",0
I am impressed with how well this backpack performs.,1
"Terrible jacket, complete waste of money.",0
"I am frustrated with this watch, it constantly malfunctions.",0
"Absolutely love my new blender, it exceeded my expectations.",1
"Not great, the shoes has some annoying issues.",0
"Mediocre shoes, expected more for the price.",0
I am impressed with how well this laptop performs.,1
The shoes is amazing and easy to use.,1
"Bad quality jacket, would not recommend to anyone.",0
"Great quality keyboard, would definitely buy again.",1
"Terrible shoes, complete waste of money.",0
This laptop is fantastic and worth every penny.,1
The blender looks nice but took a while to get used to.,1
"Terrible keyboard, complete waste of money.",0
"I am frustrated with this router, it constantly malfunctions.",0
The headphones arrived damaged and customer service was unhelpful.,0
The shoes arrived quickly and works like a charm.,1
"Not bad for the price, the phone works fine overall.",1
"Great quality blender, would definitely buy again.",1
"Decent blender, a few minor issues but generally good.",1
"The jacket broke within a week, totally unreliable.",1
"Terrible jacket, complete waste of money.",0
"Absolutely love my new laptop, it exceeded my expectations.",1
"Bad quality laptop, would not recommend to anyone.",0
The blender works but the build quality could be better.,0
"Best shoes I have ever purchased, super happy.",1
"Not great, the blender has some annoying issues.",0
"Great quality router, would definitely buy again.",1
The watch is amazing and easy to use.,0
"Mediocre router, expected more for the price.",0
"Very satisfied with this blender, it is reliable and sturdy.",1
"Not great, the headphones has some annoying issues.",0
"I am frustrated with this watch, it constantly malfunctions.",0
"Bad quality keyboard, would not recommend to anyone.",0
The keyboard works but the build quality could be better.,0
The jacket works perfectly and I am very happy with it.,1
The watch arrived quickly and works like a charm.,1
"Very satisfied with this shoes, it is reliable and sturdy.",1
"Bad quality blender, would not recommend to anyone.",0
"Very unhappy with this headphones, it never worked properly.",0
"Not bad for the price, the backpack works fine overall.",1
"Absolutely love my new backpack, it exceeded my expectations.",1
"Absolutely love my new laptop, it exceeded my expectations.",1
"Terrible headphones, complete waste of money.",0
"Not bad for the price, the blender works fine overall.",1
"Terrible blender, complete waste of money.",0
"I regret buying this backpack, it broke immediately.",0
"Excellent headphones, highly recommend it to everyone.",1
I am impressed with how well this router performs.,1
"Bad quality shoes, would not recommend to anyone.",0
The laptop is okay but stopped impressing me after a while.,0
"Mediocre keyboard, expected more for the price.",0
The shoes arrived quickly and works like a charm.,1
The keyboard is okay but stopped impressing me after a while.,0
The phone is okay but stopped impressing me after a while.,0
The router looks nice but took a while to get used to.,1
"Not great, the laptop has some annoying issues.",0
"Mediocre router, expected more for the price.",0
The shoes works but the build quality could be better.,0
The keyboard arrived damaged and customer service was unhelpful.,0
"Decent shoes, a few minor issues but generally good.",1
The router looks nice but took a while to get used to.,1
